Accession,Spores,Vector
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Col-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ler-0,0,Wt
Ws-EDS1,57,Wt
Ws-EDS1,59,Wt
Ws-EDS1,71,Wt
Ws-EDS1,43,Wt
Ws-EDS1,88,Wt
Ws-EDS1,91,Wt
Ws-EDS1,55,Wt
Ws-EDS1,76,Wt
Ws-EDS1,58,Wt
Ws-EDS1,50,Wt
Col-EDSe,59,sgRNA(EXON)
Col-EDSe,43,sgRNA(EXON)
Col-EDSe,23,sgRNA(EXON)
Col-EDSe,87,sgRNA(EXON)
Col-EDSe,36,sgRNA(EXON)
Col-EDSe,48,sgRNA(EXON)
Col-EDSe,44,sgRNA(EXON)
Col-EDSe,47,sgRNA(EXON)
Col-EDSe,39,sgRNA(EXON)
Col-EDSe,40,sgRNA(EXON)
Ler-EDSe,55,sgRNA(EXON)
Ler-EDSe,6,sgRNA(EXON)
Ler-EDSe,60,sgRNA(EXON)
Ler-EDSe,54,sgRNA(EXON)
Ler-EDSe,37,sgRNA(EXON)
Ler-EDSe,88,sgRNA(EXON)
Ler-EDSe,101,sgRNA(EXON)
Ler-EDSe,49,sgRNA(EXON)
Ler-EDSe,66,sgRNA(EXON)
Ler-EDSe,80,sgRNA(EXON)
Ws-EDSe,55,sgRNA(EXON)
Ws-EDSe,56,sgRNA(EXON)
Ws-EDSe,57,sgRNA(EXON)
Ws-EDSe,88,sgRNA(EXON)
Ws-EDSe,65,sgRNA(EXON)
Ws-EDSe,77,sgRNA(EXON)
Ws-EDSe,84,sgRNA(EXON)
Ws-EDSe,49,sgRNA(EXON)
Ws-EDSe,87,sgRNA(EXON)
Ws-EDSe,52,sgRNA(EXON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Col-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ler-EDSi,0,sgRNA(INTRON)
Ws-EDSi,56,sgRNA(INTRON)
Ws-EDSi,47,sgRNA(INTRON)
Ws-EDSi,74,sgRNA(INTRON)
Ws-EDSi,88,sgRNA(INTRON)
Ws-EDSi,89,sgRNA(INTRON)
Ws-EDSi,95,sgRNA(INTRON)
Ws-EDSi,43,sgRNA(INTRON)
Ws-EDSi,55,sgRNA(INTRON)
Ws-EDSi,49,sgRNA(INTRON)
Ws-EDSi,41,sgRNA(INTRON)
